Aa
Aabel
Aaberg
Aaby
Aabø
Aadland
Aaen
Aagaard
Aakervik
Aakvik
Aaland
Aalberg
Aalvik
Aam
Aamodt
Aamot
Aandahl
Aandal
Aanerud
Aanestad
Aanonsen
Aardal
Aarflot
Aarhus
Aarland
Aarnes
Aarsand
Aarseth
Aarskog
Aarsland
Aarstad
Aarum
Aarvik
Aarø
Aasberg
Aasbø
Aase
Aasebø
Aasen
Aaserud
Aaseth
Aasheim
Aass
Abbas
Abdallah
Abdi
Abdirahman
Abdo
Abdullah
Abdullahi
Abdulle
Abelsen
Abraha
Abraham
Abrahamsen
Abukar
Adam
Aden
Afzal
Aga
Ahmadi
Ahmadzai
Ahmed
Akbari
Aker
Akhtar
Akram
Aksdal
Akselsen
Alali
Albertsen
Albrigtsen
Aleksandersen
Alexandersen
Alfheim
Alfredsen
Alfsen
Alhasan
Alhussein
Ali
Alm
Almaas
Alme
Almli
Alnes
Alnæs
Alsos
Alstad
Alsvik
Alver
Alvestad
Alvheim
Alvær
Amble
Amdahl
Amdal
Amdam
Amin
Amini
Amiri
Amlie
Amundsen
Anda
Andersen
Anderson
Anderssen
Andersson
Andreassen
Andresen
Andvik
Anfinsen
Angell
Angelsen
Anthonsen
Anti
Antonsen
Apeland
Araya
Arctander
Arif
Arnesen
Arnestad
Arnevik
Arntsen
Arntzen
Aronsen
Arshad
Arslan
Arvesen
Asghar
Asheim
Ashraf
Ask
Aske
Askeland
Askevold
Askildsen
Askim
Askvik
Aslaksen
Aslam
Asp
Aspaas
Aspen
Aspenes
Asphaug
Astrup
Aukland
Aulie
Aune
Aurdal
Aurstad
Ausland
Austad
Austbø
Austrheim
Awad
Aziz
Azizi
Baardsen
Bach
Backe
Bakka
Bakkan
Bakkejord
Bakkeli
Bakken
Bakker
Bakstad
Balstad
Baltzersen
Bang
Barka
Barth
Bartnes
Bastiansen
Bauer
Bauge
Baumann
Baustad
Bay
Bech
Beck
Becker
Bekkelund
Bekkevold
Bell
Belsvik
Bendixen
Bengtsson
Benjaminsen
Benonisen
Bentsen
Bentzen
Berdal
Berentsen
Berge
Bergem
Bergene
Bergersen
Bergerud
Bergesen
Berget
Berggren
Bergh
Bergheim
Bergli
Berglund
Bergmann
Bergo
Bergquist
Bergseng
Bergset
Bergstrøm
Bergtun
Bergum
Berhane
Berhe
Berisha
Berland
Bernhardsen
Berntsen
Berntzen
Berstad
Bertelsen
Berthelsen
Bertheussen
Beyer
Bhatti
Bibi
Bilstad
Birkedal
Birkeland
Birkeli
Birkelund
Birkenes
Bjerga
Bjerk
Bjerkan
Bjerkelund
Bjerkestrand
Bjerkli
Bjerknes
Bjerkvik
Bjerkås
Bjorøy
Bjune
Bjønnes
Bjønness
Bjørgan
Bjørge
Bjørgen
Bjørgum
Bjørheim
Bjørk
Bjørkedal
Bjørkhaug
Bjørkheim
Bjørkli
Bjørkmo
Bjørkum
Bjørkås
Bjørlo
Bjørn
Bjørndal
Bjørndalen
Bjørnerud
Bjørnes
Bjørnevik
Bjørnstad
Bjørnø
Bjørnøy
Bjørnå
Bjørseth
Bjørsvik
Bjørvik
Blindheim
Blix
Blom
Blomvik
Blystad
Bodin
Bogen
Bolme
Bolstad
Bondevik
Bones
Bonsaksen
Borch
Borchgrevink
Bore
Borgan
Borge
Borgen
Borgersen
Borlaug
Borsheim
Bostad
Botnen
Botten
Boye
Braaten
Braathen
Bragstad
Brakstad
Brandt
Braseth
Brastad
Brataas
Bratberg
Bratland
Bratli
Bratsberg
Bratteng
Brattli
Brattås
Bratvold
Bredal
Bredesen
Breen
Breiland
Breistein
Breivik
Brekka
Brekke
Brekken
Bremnes
Bremseth
Brenna
Brenne
Brevig
Brevik
Broch
Brodersen
Brovold
Brown
Brox
Bru
Bruaset
Brubakken
Brudevoll
Brudvik
Bruheim
Bruland
Brun
Brunborg
Brunes
Brunstad
Brunvoll
Brustad
Bruun
Bruvik
Bruvoll
Bryhn
Bryn
Brynildsen
Brynjulfsen
Brækken
Brænd
Brænden
Brøndbo
Brønstad
Bråten
Bråthen
