Aage
Aaron
Aasmund
Abdallah
Abdi
Abdirahman
Abdul
Abdullah
Abdullahi
Abdulrahman
Abel
Abraham
Adam
Adel
Adil
Adrian
Agnar
Ahmad
Ahmed
Ahmet
Aiden
Ailo
Aksel
Alaa
Alan
Albert
Aleksandar
Aleksandr
Aleksandrs
Alex
Alexander
Alexandru
Alf
Allan
Alvin
Amanuel
Amer
Amir
Ammar
Anas
Andre
Andreas
Andrei
Andrii
Andris
Andrius
Andrzej
Annar
Ansgar
Anton
Antonio
Anwar
Aram
Are
Ari
Arian
Arild
Arkadiusz
Arman
Armin
Arne
Arnfinn
Arnljot
Arnstein
Arnt
Arnulf
Arthur
Artur
Arturas
Arunas
Arvid
Arvin
Arvydas
Aryan
Asbjørn
Ask
Aslak
Asle
Atle
Audrius
Audun
August
Axel
Ayman
Ayub
Baard
Bartosz
Bastian
Ben
Bendik
Bengt
Benjamin
Benny
Bernard
Bernhard
Bernt
Bilal
Birger
Birk
Bjarne
Bjarte
Bjørge
Bjørn
Bjørn-Erik
Bjørnar
Bo
Bogdan
Boguslaw
Brage
Brede
Brian
Bror
Bruno
Brynjulf
Børge
Børre
Bård
Carl
Carlos
Carsten
Casper
Caspian
Cato
Charles
Charlie
Chris
Christen
Christer
Christian
Christopher
Claes
Claus
Colin
Conrad
Constantin
Cornelius
Cristian
Dagfinn
Dainius
Damian
Dan
Dani
Danial
Daniel
Danny
Darius
Dariusz
David
Dawid
Dawit
Deividas
Dejan
Denis
Dennis
Dmytro
Dominic
Dominik
Donatas
Dovydas
Dragan
Ebbe
Eddie
Edgar
Edgaras
Edin
Edmund
Eduard
Eduardo
Edvin
Edward
Edwin
Eilert
Eilev
Eilif
Einar
Eirik
Eivind
Eliah
Elias
Elling
Elliot
Emanuel
Emilio
Emir
Emrik
Eric
Erik
Erland
Erlend
Erling
Ernst
Esben
Eskil
Eskild
Espen
Esten
Evald
Evaldas
Evan
Even
Eystein
Eyvind
Faisal
Falk
Farhad
Felix
Ferdinand
Filip
Fillip
Finn
Flemming
Florian
Florin
Francis
Francisco
Frans
Fred
Freddy
Frederik
Fredrick
Fredrik
Frikk
Frithjof
Fritz
Gabriel
Gediminas
Geir
Georg
George
Georgios
Gert
Giedrius
Gintaras
Gisle
Glen
Goran
Gorm
Gudbrand
Gudmund
Gunnar
Gunvald
Gustav
Guttorm
Gøran
Haakon
Haavard
Hadi
Haldor
Halfdan
Hallgeir
Hallstein
Hallvard
Halvard
Halvor
Hamza
Hans
Harald
Haris
Harry
Hasan
Hassan
Hauk
Heine
Helmer
Henning
Henrik
Hermann
Hermod
Hilmar
Hjalmar
Holger
Hubert
Hugo
Hussain
Hussein
Håkon
Håvar
Håvard
Ian
Ibrahim
Idar
Ihor
Ilyas
Imran
Inge
Ingebrigt
Ingmar
Ingolf
Ingvald
Ingvar
Ingve
Ioan
Ionut
Ireneusz
Isa
Isac
Isak
Ismail
Ivan
Ivar
Iver
Jacek
Jack
Jacob
Jahn
Jakob
Jakub
James
Jamie
Jan
Jan-Erik
Janis
Jann
Jaran
Jarand
Jarl
Jarle
Jason
Jean
Jens
Jeppe
Jesper
Jim
Jimmy
Jo
Joachim
Joacim
Joao
Joar
Joel
Johann
Johannes
John
Johnny
Jomar
Jonah
Jonas
Jonatan
Jonathan
Jone
Jorge
Jose
Josef
Joseph
Joshua
Jostein
Jozef
Juan
Julian
Julius
Justin
Jøran
